Angliski saīsināti, Angliski pilnos vārdos,  Latviski, Piezīmes
DN, DEDICATED NETWORK, Speciāli izdalīts tikls, 
SSH, SECURE CONNECTION / SECURE SHELL, Drošs savienojums, Savienojums ir kriptēts un neļauj eventuālam uzbrucējam no malas nozagt lietotāja datus. 
